City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Funadhoo,6.15,73.2667,83.28,72,92,15.5,MV,2022-09-24 10:4420
166,Poddorye,57.4695,31.1156,52.34,65,100,12.55,RU,2022-09-24 10:4420
167,Shetpe,44.1667,52.1167,82.63,37,26,9.53,KZ,2022-09-24 10:4421
168,Middle Island,40.8843,-72.9373,53.83,70,0,9.22,US,2022-09-24 10:4421
169,Sabha,27.0377,14.4283,88.39,35,43,10.38,LY,2022-09-24 10:4422
170,Lebu,-37.6167,-73.65,46.4,86,35,16.87,CL,2022-09-24 10:4422
171,Kushiro,42.975,144.3747,63.55,100,75,4.61,JP,2022-09-24 10:4423
172,Ternate,0.8,127.4,81.28,77,79,7.29,ID,2022-09-24 10:4423
173,Mago,53.2514,140.1822,51.03,93,100,15.05,RU,2022-09-24 10:4423
174,Watsa,3.0372,29.5355,79.83,60,71,5.12,CD,2022-09-24 10:4424
175,Tufanganj,26.3167,89.6667,84.63,80,68,3.67,IN,2022-09-24 10:4424
176,Tuktoyaktuk,69.4541,-133.0374,31.53,80,97,9.15,CA,2022-09-24 10:4425
177,Te Anau,-45.4167,167.7167,45.36,94,84,2.39,NZ,2022-09-24 10:4425
178,Nome,64.5011,-165.4064,41.07,87,75,6.91,US,2022-09-24 10:4526
179,Kirakira,-10.4544,161.9205,79.38,85,6,5.57,SB,2022-09-24 10:4526
180,Rocha,-34.4833,-54.3333,50.77,70,70,3.31,UY,2022-09-24 10:4026
181,Formosa Do Rio Preto,-11.0483,-45.1931,83.34,54,11,3.98,BR,2022-09-24 10:4527
182,Isla Vista,34.4133,-119.861,76.35,57,0,0.0,US,2022-09-24 10:4527
183,Dukat,62.55,155.55,20.01,94,98,2.42,RU,2022-09-24 10:4527
184,Gustrow,53.7972,12.1734,57.52,77,75,2.3,DE,2022-09-24 10:4528
185,Sao Felix Do Xingu,-6.6447,-51.995,82.54,52,2,1.1,BR,2022-09-24 10:4528
186,Port Macquarie,-31.4333,152.9167,57.88,91,33,9.42,AU,2022-09-24 10:4529
187,Aykhal,66.0,111.5,27.23,96,100,14.45,RU,2022-09-24 10:4529
188,Grand Gaube,-20.0064,57.6608,75.6,65,3,13.0,MU,2022-09-24 10:4529
189,Fortuna,40.5982,-124.1573,55.65,88,1,3.42,US,2022-09-24 10:4530
190,Ust-Maya,60.4167,134.5333,42.98,79,96,11.01,RU,2022-09-24 10:4221
191,Nelson Bay,-32.7167,152.15,60.1,96,65,5.99,AU,2022-09-24 10:4530
192,Pochutla,15.7432,-96.4661,73.81,81,100,3.6,MX,2022-09-24 10:4531
193,Chokurdakh,70.6333,147.9167,29.1,91,46,5.64,RU,2022-09-24 10:4532
194,San Policarpo,12.1791,125.5072,78.62,86,100,7.65,PH,2022-09-24 10:4532
195,Chuy,-33.6971,-53.4616,50.63,65,64,3.4,UY,2022-09-24 10:4532
196,Lazaro Cardenas,17.9583,-102.2,75.94,90,18,3.87,MX,2022-09-24 10:4209
197,Zhigansk,66.7697,123.3711,31.89,68,98,8.97,RU,2022-09-24 10:4533
198,Ramgarh,23.6333,85.5167,87.85,75,99,2.35,IN,2022-09-24 10:4533
199,Alofi,-19.0595,-169.9187,75.09,73,86,9.22,NU,2022-09-24 10:4534
200,Tual,-5.6667,132.75,82.56,76,67,17.02,ID,2022-09-24 10:4534
201,Sarkand,45.41,79.9186,79.07,22,59,8.1,KZ,2022-09-24 10:4535
202,Port Hardy,50.6996,-127.4199,51.98,100,40,0.0,CA,2022-09-24 10:4535
203,Flin Flon,54.7682,-101.865,48.61,84,91,5.14,CA,2022-09-24 10:4536
204,Kharan,28.5833,65.4167,95.25,7,6,2.01,PK,2022-09-24 10:4536
205,Sola,-13.8833,167.55,81.18,77,28,10.74,VU,2022-09-24 10:4537
206,Qandala,11.472,49.8728,90.55,49,67,7.29,SO,2022-09-24 10:4537
207,Hualmay,-11.0964,-77.6139,59.4,88,100,9.93,PE,2022-09-24 10:4537
208,Kavaratti,10.5669,72.642,82.04,73,96,13.0,IN,2022-09-24 10:4538
209,Genhe,50.7833,121.5167,52.2,57,89,3.02,CN,2022-09-24 10:4538
210,East London,-33.0153,27.9116,72.54,73,20,14.97,ZA,2022-09-24 10:4539
211,Smoky Lake,54.1169,-112.4686,41.72,81,79,4.61,CA,2022-09-24 10:4313
212,Yate,51.5407,-2.4184,62.76,66,53,4.0,GB,2022-09-24 10:4312
213,Luderitz,-26.6481,15.1594,64.81,58,95,19.19,NA,2022-09-24 10:4540
214,Yulara,-25.2406,130.9889,79.27,15,6,8.1,AU,2022-09-24 10:4540
215,Damietta,31.4165,31.8133,81.97,54,1,12.71,EG,2022-09-24 10:4540
216,Fort Nelson,58.8053,-122.7002,44.19,65,75,2.3,CA,2022-09-24 10:4541
217,Namwala,-15.7504,26.4384,92.53,15,22,10.78,ZM,2022-09-24 10:4541
218,Hurricane,37.1753,-113.2899,63.07,26,12,7.11,US,2022-09-24 10:4542
219,Guerrero Negro,27.9769,-114.0611,72.18,77,11,8.39,MX,2022-09-24 10:4542
220,Zhanakorgan,43.9098,67.2495,92.46,12,0,15.17,KZ,2022-09-24 10:4543
221,Ishigaki,24.3448,124.1572,80.73,94,75,18.41,JP,2022-09-24 10:4543
222,Preili,56.2944,26.7246,55.85,55,79,7.99,LV,2022-09-24 10:4543
223,Laguna,38.421,-121.4238,72.09,83,0,5.75,US,2022-09-24 10:4544
224,Angoram,-4.0625,144.0661,72.7,99,92,2.59,PG,2022-09-24 10:4544
225,Bridlington,54.0831,-0.1919,63.14,72,62,18.16,GB,2022-09-24 10:4645
226,Yenagoa,4.9247,6.2642,84.96,68,46,5.86,NG,2022-09-24 10:4645
227,Singaraja,-8.112,115.0882,81.14,83,79,2.77,ID,2022-09-24 10:4646
228,Souillac,-20.5167,57.5167,75.58,69,75,16.11,MU,2022-09-24 10:4646
229,Ponta Do Sol,32.6667,-17.1,75.83,65,91,3.98,PT,2022-09-24 10:4647
230,Komsomolskiy,40.4272,71.7189,88.52,18,0,4.61,UZ,2022-09-24 10:4647
231,Strezhevoy,60.7333,77.5889,45.57,48,51,7.56,RU,2022-09-24 10:4648
232,Mahebourg,-20.4081,57.7,75.49,69,75,16.11,MU,2022-09-24 10:4648
233,Banda Aceh,5.5577,95.3222,81.37,69,90,9.89,ID,2022-09-24 10:4649
234,Bathsheba,13.2167,-59.5167,81.21,78,40,12.66,BB,2022-09-24 10:4649
235,Pisco,-13.7,-76.2167,53.65,87,20,4.61,PE,2022-09-24 10:4650
236,Coxim,-18.5067,-54.76,71.11,31,65,11.72,BR,2022-09-24 10:4650
237,Ponta Delgada,37.7333,-25.6667,76.5,94,75,14.97,PT,2022-09-24 10:4639
238,Ugoofaaru,5.6667,73.0,83.37,70,94,14.97,MV,2022-09-24 10:4651
239,Tuatapere,-46.1333,167.6833,47.46,96,98,3.87,NZ,2022-09-24 10:4652
240,Seoul,37.5683,126.9778,67.44,66,0,5.75,KR,2022-09-24 10:4652
241,Lompoc,34.6391,-120.4579,60.53,98,100,0.0,US,2022-09-24 10:4653
242,Rio Grande,-32.035,-52.0986,50.11,75,15,6.58,BR,2022-09-24 10:4653
243,Sur,22.5667,59.5289,91.18,49,70,6.4,OM,2022-09-24 10:4654
