City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
196,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,88,100,8.05,light intensity drizzle
197,Sarankhola,BD,22.3082,89.7897,78.17,92,42,4.76,moderate rain
198,Leh,IN,34.1667,77.5833,46.72,62,16,2.73,few clouds
199,Nikolskoye,RU,59.7035,30.7861,46.8,97,100,4.07,overcast clouds
200,Kismayo,SO,-0.3582,42.5454,76.3,84,33,16.93,scattered clouds
201,Bandarbeyla,SO,9.4942,50.8122,78.6,80,56,20.31,broken clouds
202,Lexington,US,37.9887,-84.4777,61.92,55,0,18.41,clear sky
203,Saint Pete Beach,US,27.7253,-82.7412,74.28,65,100,21.85,overcast clouds
204,Constitucion,CL,-35.3333,-72.4167,55.13,84,83,5.1,broken clouds
205,Thompson,CA,55.7435,-97.8558,59.16,44,75,14.97,broken clouds
206,Varkkallai,IN,8.7341,76.7067,78.58,88,100,6.98,light rain
207,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,6.91,overcast clouds
208,Yuzhno-Kurilsk,RU,44.0306,145.8556,58.68,76,20,10.22,few clouds
209,Yulara,AU,-25.2406,130.9889,63.18,30,100,9.78,overcast clouds
210,Garissa,KE,-0.4536,39.6401,73.9,77,58,19.1,broken clouds
211,Carutapera,BR,-1.195,-46.02,79.75,77,56,9.4,broken clouds
212,Husavik,IS,66.0449,-17.3389,45.75,83,100,7.09,overcast clouds
213,Kudahuvadhoo,MV,2.6708,72.8944,78.21,82,100,21.12,heavy intensity rain
214,Karpathos,GR,35.507,27.2132,75.16,88,9,3.44,clear sky
215,Tazmalt,DZ,36.3868,4.3989,67.01,64,87,4.23,overcast clouds
216,Chuy,UY,-33.6971,-53.4616,53.69,80,99,5.41,overcast clouds
217,Geraldton,AU,-28.7667,114.6,64.81,59,100,14.97,overcast clouds
218,Draguignan,FR,43.5333,6.4667,62.83,54,94,3.44,overcast clouds
219,Timmins,CA,48.4669,-81.3331,58.82,44,20,6.91,few clouds
220,Fiche,ET,9.8,38.7333,48.69,83,70,1.07,broken clouds
221,Maramba,TZ,-5.05,38.6167,60.33,92,54,1.86,broken clouds
222,Bela,IN,25.9333,81.9833,77.43,76,1,1.77,clear sky
223,Port Hedland,AU,-20.3167,118.5667,66.25,82,40,6.91,scattered clouds
224,Kaeo,NZ,-35.1,173.7833,66.33,97,100,11.39,moderate rain
225,Payo,ID,-3.7508,103.6372,71.92,89,92,1.79,overcast clouds
